	en	fr	es
twitter_card_header	Extracted Tweet	Temp	Temp
twitter_card_loading	Please hold. Currently trying to retrieve tweet. Text  Temp	Temp
tweet_text	Tweet Text  Temp	Temp
media_to_process	Tweet Media Temp	Temp
things_you_can_do_header	Tweet Actions	Temp	Temp
things_you_can_do	Below are the tools you can use on this tweet	Temp	Temp
reverse_google_title	Reverse Search	Temp	Temp
dbkn_title	Database of Known Fakes 	Temp	Temp
reverse_google	You can reverse google search this text against multiple platforms	Temp	Temp
dbkn	You can reverse search against the database of known fakes	Temp	Temp

