	en	fr	es	el	hy
api_title	Video contextual verification	Vérification du contexte de la vidéo	Verificación del contexto del video	Επαλήθευση βίντεο μέσω ανάλυσης δεικτών εγκυρότητας	Տեսանյութի համատեքստի ստուգում
api_input	Youtube, Facebook or Twitter link	Adresse YouTube, Facebook ou Twitter	Enlace de YouTube, Facebook o Twitter	Σύνδεσμος Youtube, Facebook ή Twitter	ՅուԹուբի, Ֆեյսբուքի կամ Թվիթերի հղում
api_input_placeholder	Paste here the link	Coller ici le lien	Pegar aquí el enlace	Επικολλήστε εδώ το σύνδεσμο	Տեղադրեք այստեղ հղումը
api_repro	Reprocess	Retraiter	Volver a procesar	Επανεπεξεργασία	Վերամշակել
api_comments	All comments	Tous les commentaires	Todos los comentarios	Όλα τα σχόλια	Բոլոր մեկնաբանությունները
button_submit	Submit	Envoyer	Enviar	Υποβολή	Վերլուծել
facebook_video_name_1	Video id	Identifiant de la vidéo	Identificación del video	Βίντεο id	Տեսանյութի ID
image_id	Image id	Identifiant de l'image	Identificación de imagen	Αναγνωριστικό εικόνας	Պատկերի ID
facebook_video_name_2	Video title	Titre de la vidéo	Títular del video	Τίτλος Βίντεο	Տեսանյութի վերնագիր
facebook_video_name_3	Duration	Durée	Duración	Διάρκεια	Տևողությունը
facebook_video_name_4	Content category	Catégorie du contenu	Categoría del contenido	Κατηγορία περιεχομένου	Բովանդակության կատեգորիա
facebook_video_name_5	Content tags	Tag du contenu	Tag del contenido	Ετικέτες περιεχομένου	Բովանդակության պիտակներ
facebook_video_name_6	Video description	Description de la vidéo	Descripción del video	Περιγραφή Βίντεο	Տեսանյութի նկարագրությունը
facebook_video_name_7	Like count	Nombre de ''j'aime''	Número de ''me gusta''	Αριθμός likes	Հավանումների թիվը
facebook_video_name_8	Updated time	Date de mise en ligne	Fecha de puesta en línea	Ώρα ενημέρωσης	Փոփոխման ամսաթիվ
facebook_video_name_9	Created time	Date de création	Fecha de creación	Ώρα δημιουγίας	Ստեղծման ամսաթիվ
facebook_image_caption	Caption	Légende	Subtítulo	Λεζάντα	Վերնագիր
facebook_comment_title	Comments	Commentaires	Comentarios	Σχόλια	Մեկնաբանություններ
facebook_comment_name_1	Video comment count	Nombre de commentaires	Comentarios sobre el video	Αριθμός σχολίων βίντεο	Տեսանյութի մեկնաբանությունների թիվ 
facebook_delete_result	Remove result	Effacer le résultat	Borrar el resultado 	Διαγραφή του αποτελέσματος της διαδικασίας	Հեռացրեք արդյունքը
image_comment_count	Image comment count	Nombre de commentaires d'image	Recuento de comentarios de imagen	Αριθμός σχολίων εικόνας	Պատկերի մեկնաբանությունների թիվ
facebook_comment_name_2	Number verification comments	Nombre de commentaires vérifiés	Número de comentarios verificados	Αριθμός σχολίων επαλήθευσης	Համարի վերիֆիկացնող մեկնաբանություններ
twitter_user_name_13	Created	Date de création	Fecha de creación	Δημιουργήθηκε	Ստեղծված
twitter_user_name_4	Profile	Profil	Perfil	Προφίλ	Պրոֆիլ
button_reverse_google	Google Image reverse search	Recherche inversée Google image	Búsqueda inversa de imagen Google	Αντίστροφη αναζήτηση εικόνας Google	Google Image Reverse որոնում
button_reverse_yandex	Yandex Image reverse search	Recherche inversée Yandex image	Búsqueda inversa de imagen Yandex	Αντίστροφη αναζήτηση εικόνας Yandex	Yandex Image Reverse որոնում
button_reverse_tineye	Tineye Image reverse search	Recherche inversée Tineye	Búsqueda inversa de imagen Tineye	Αντίστροφη αναζήτηση εικόνας Tineye	Tineye Image Հակադարձ որոնում
button_reverse_twitter	Twitter video search	Recherche sur Twitter	Búsqueda en Twitter	Αναζήτηση βίντεο Twitter	Թվիթերի վիդեո որոնում
youtube_video_name1_2	Video description	Description de la vidéo	Descripción del video	Περιγραφή Βίντεο	Տեսանյութի նկարագրությունը
twitter_video_name_3	Origin	Origine	Origen	Προέλευση	Սկզբնաղբյուր
twitter_video_name_4	Likes count	Nombre de ''j'aime''	Número de ''me gusta''	Αριθμός likes	Հավանումների թիվ
twitter_video_name_5	Retweets count	Nombre de retweets	Número de retweets	Αριθμός retweets	Կիսումների (ռեթվիթերի) թիվ
twitter_video_name_6	Hashtags	Hashtags	Hashtags	Hashtags	Հեշթեգեր
twitter_video_name_7	Urls included	Urls incluses	Urls incluidas	URLs που περιλαμβάνονται	Ներառված URL-ներ
twitter_video_name_8	Mentionned by	Mentionné par	Mencionado por	Αναφέρθηκε από	Նշվել է
twitter_video_name_9	Language	Langue	Lengua	Γλώσσα	Լեզու
twitter_video_name_10	Thumbnail	Imagette	Miniaturas	Μικρογραφία	Մանրապատկեր
twitter_video_name_11	Size	Taille	Talla	Μέγεθος	Չափ
twitter_video_name_12	Duration	Durée	Duración	Διάρκεια	Տևողությունը
twitter_video_name_13	Locations mentioned	Lieux mentionnés	Lugares mencionados	Τοποθεσίες που αναφέρονται	Նշված տեղանքները
twitter_video_name_14	Embedded YouTube	Incorporé de YouTube	Integrable desde YouTube	Ενσωματωμένo YouTube βίντεο	Ներկառուցված YouTube
twitter_video_name_15	Created	Date de création	Fecha de creación	Δημιουργήθηκε	Ստեղծված
twitter_video_name_16	Video	Vidéo	Video	Βίντεο	Տեսանյութ
twitter_user_title	Public User	Utilisateur public	Usuario público	Δημόσιος χρήστης	Հրապարակայաին օգտվող
twitter_user_name_2	Screen name	Pseudonyme	Nombre de usuario	Ονομα οθόνης	Կեղծանուն
twitter_user_name_3	Location	Localisation	Lugar	Τοποθεσία	Գտնվելու վայր
twitter_user_name_4	Profile	Profil	Perfil	Προφίλ	Պրոֆիլ
twitter_user_name_5	Description	Description	Descripción	Περιγραφή	Նկարագրություն
twitter_user_name_6	Protected user	Utilisateur protégé	Usuario protegido	Προστατευμένος χρήστης	Պաշտպանված օգտվող
twitter_user_name_7	Verified user	Utilisateur vérifié	Usuario verificado	Επαληθευμένος χρήστης	Ստուգված օգտվող
twitter_user_name_8	Followers	Nombre d'abonnés	Seguidores	Ακόλουθοι	Հետևորդներ
twitter_user_name_9	Following	Nombre d'abonnements	Seguidos	Σε ακολούθηση	Հաջորդ
twitter_user_name_10	Lists	Listes	Listas	Λίστες	Ցուցակներ
