	en	fr	es	el	hy
twitter_title	Twitter advanced search	Recherche avancée Twitter	Búsqueda avanzada Twitter	Σύνθετη αναζήτηση στο Twitter	Թվիտերում ընդլայնված որոնում
twitter_termbox	Keyword or #	Mot clé ou #	Palabra clave o #	Λέξη κλειδί ή #	Որոնվող բառ կամ #
twitter_tw-account	From (Twitter account name)	De (Nom de compte Twitter)	De (Nombre de una cuenta de Twitter)	Από (Όνομα λογαριασμού Twitter)	Ումից (Twitter հաշվի անվանում)
twitter_filter	Filter (e.g. safe, media, retweets, native_video, periscope, vine, images, twimg or links)	Filtre (ex. safe, media, retweets, native_video, periscope, vine, images, twimg or links)	Filtro (ej. safe, media, retweets, native_video, periscope, vine, images, twimg or links)	Φίλτρο (π.χ. safe, media, retweets, native_video, periscope, vine, images, twimg or links)	Զտիչ (օրինակ` safe, media, retweets, native_video, periscope, vine, images, twimg or links)
twitter_lang	Language (e.g. en, fr, de, es, ru, ja, zh...)	Langue (ex: en, fr, de, es ru, ja, zh...)	Idioma (ej: en, fr, de, es ru, ja, zh...)	Γλώσσα (π.χ. en, fr, de, es, ru, ja, zh, gr ...)	Լեզու (օրինակ՝ en, hy, fr, de, es ru, ja, zh...)
twitter_geocode	Geocode (e.g. -22.912214,-43.230182,1km or -22.912214,-43.230182,1mi)	Geocode (ex: -22.912214,-43.230182,1km ou -22.912214,-43.230182,1mi)	Geocodigo (ej: -22.912214,-43.230182,1km ou -22.912214,-43.230182,1mi)	Συντεταγμένες ( π.χ. -22.912214,-43.230182,1χλμ. ή -22.912214,-43.230182,1μίλια)	Geocode (օրինակ. -22.912214, -43.230182,1 կմ կամ -22.912214, -43.230182,1 մղ)
twitter_near	Near (city name)	Proche de : (nom de ville)	Cerca de (nombre de ciudad)	Κοντά (όνομα πόλης)	Մոտ (քաղաքի անվանումը)
twitter_within	Within (e.g. 15mi or 15km)	Dans (ex: 15mi ou 15km)	Dentro de (ej: 15mi o 15 km)	Εντός (π.χ. 15μίλια ή 15χλμ)	Շառավիղ (օրինակ 15 մղ կամ 15 կմ)
twitter_from_date	Since	Depuis	Desde	Από	Սկսած
twitter_to_date	Until	Jusqu'à	Hasta	Εως	Մինչև
twitter_local_time	Local time	Heure locale	Hora local	Τοπική ώρα	Տեղական ժամանակ
twitter_gmt	GMT	GMT	GMT	GMT	GMT
button_submit	Submit	Envoyer	Enviar	Υποβολή	Որոնել
cardheader_parameters	Search parameters	Paramètres de recherche	Parámetros de búsqueda	Παράμετροι αναζήτησης	Որոնման պարամետրեր
