	en	fr	es	el
quiz_unlock_message	To display explanations, unlock them from About menu	Pour afficher les explications, débloquez les depuis le menu A propos	Desbloquear las explicaciones de Interactivo desde el menú Sobre nosotros	Για προβολή επεξηγήσεων ξεκλειδώσετε την επιλογή από το μενού 'Σχετικά'
quiz_title	Spot the fake !	Trouvez le faux !	¡Detectar la falsificación!	Εντοπίστε το ψεύτικο!
quiz_similarity	Similarity search	Recherche de similarités	Búsqueda de similaridades	Αναζήτηση ομοιότητας
quiz_forensic	Forensic search	Recherche Forensic	Búsqueda Forensic	Aναζήτηση αυθεντικότητας εικόνων
quiz_keyframes	Keyframes	Images clés	Fotogramas claves	Χαρακτηριστικά καρέ
quiz_explanations	Explanations	Explications	Explicaciones	Επεξηγήσεις
quiz_item_url_1	https://reveal-mklab.iti.gr/forensics/imgs/example0_big.jpg	https://reveal-mklab.iti.gr/forensics/imgs/example0_big.jpg	https://reveal-mklab.iti.gr/forensics/imgs/example0_big.jpg	https://reveal-mklab.iti.gr/forensics_demo/Tsakalotos.jpg
quiz_item_title_1				
quiz_item_answer_1	This picture appeared on Twitter during the Catalonian referendum in Spain on the 1st of October 2017. The catalonian flag has been added to the image through tampering. This image can be verified through similarity search as a previous image without flag was indexed by the main reverse search engines. It can also be verified through forensic analysis as the added flag remains highly visible in the JPEG Ghost filter.	Cette photo a été postée sur Twitter durant le réferendum catalan du 1er octobre 2017, en Espagne. Le drapeau catalan a été ajouté à une image pré-existante que l'on peut retrouver grâce à une recherche par similarité d'image. La manipulation apparaît également lors de l'analyse forensic à travers le filtre détectant les fantômes JPEG, c'est-à-dire des traces restant visibles à divers niveaux de compression.	Esta foto fue publicada en Twitter con la bandera catalana añadida, el día del referendo catalan del 1 de Octubre 2017, en España. Se puede poner en evidencia la manipulación de esta foto con una búsqueda inversa de imagenes y con el filtro JPEG Ghost en el análisis forensic.	Η εικόνα δείχνει τον ΄Ελληνα υπουργό οικονομικών Ευκλείδη Τσακαλώτο να μιλάει μπροστά στον πίνακα 'Η Κραυγή' του νορβηγού ζωγράφου Edvard Munch. Στην πραγματικότητα, αυτή η εικόνα είναι μια παρωδία: Ο Τσακαλώτος είχε γίνει αντικείμενο υποτιμητικών σχολίων λόγω ομιλίας του μπροστά από πίνακα γυμνής γυναίκας του Modigliani. Δοκιμάστε το αναδυόμενο μενού πάνω στην εικόνα για να δείτε τα αποτελέσματα με αρκετές μηχανές αντίστροφης οπτικής αναζήτησης. Η αρχική εικόνα είναι διαθέσιμη εδώ:
quiz_item_answer_1_url	https://english.elpais.com/elpais/2017/10/02/inenglish/1506943013_999238.html#TweetAuthor-avatar%20Identity-avatar%20u-linkBlend	https://www.lemonde.fr/les-decodeurs/article/2017/10/02/violences-policieres-en-catalogne-attention-aux-images-trompeuses_5194905_4355770.html#article__fact%20article__fact--false	https://elpais.com/politica/2017/10/01/actualidad/1506885911_363023.html#sumario_2	https://www.aftodioikisi.gr/paraskinia/o-kallianos-evgale-porno-ton-montiliani/
quiz_item_url_2	https://reveal-mklab.iti.gr/forensics_demo/Tsakalotos.jpg	https://reveal-mklab.iti.gr/forensics_demo/Tsakalotos.jpg	https://reveal-mklab.iti.gr/forensics_demo/Tsakalotos.jpg	https://reveal-mklab.iti.gr/forensics_demo/WhaleKayak.jpg
quiz_item_title_2				
