	en	fr	es	el
about_title	InVID-WeVerify toolkit	Outils InVID-WeVerify	Herramientas InVID-WeVerify	Σετ εργαλείων InVID-WeVerify
source_part_1	This verification toolkit is provided in open source (under a 	Cette boîte à outils de vérification est publiée en open source (sous une 	Este conjunto de herramientas esta publicada en código abierto (bajo una 	Αυτό το σετ εργαλείων διατίθεται σε λογισμικό ανοικτού κώδικα (υπό 
mit_licence_link	license.html	license.html	license.html	license.html
mit_licence_link_label	MIT Licence) 	Licence MIT)	licencia MIT) 	Άδεια ΜΙΤ 
source_part_2	by the AFP Medialab. It has been developed during the european projects InVID (2016-2018), WeVerify (2018-2021; both H2020) and YouCheck! (2019-2021; media literacy) as well as through the IFCN EnVisu4 project (2021) to help journalists and fact-checkers verify content on social networks (Disclaimer: please note that some external services used through web services via this interface, such as those presented under the Analysis and Keyframes tabs, are not open-sourced).	par le Medialab de l'AFP. Elle a été développé lors des projets européens InVID (2016-2018), WeVerify (2018-2021; tous deux H2020), et YouCheck! (2019-2021; éducation aux médias) ainsi que lors du projet IFCN EnVisu4 (2021) pour aider les journalistes et fact-checkers à vérifier les contenus, notamment sur les réseaux sociaux (note: certains des services externes utilisés par cette interface via des services web, comme ceux présentés dans les onglets Analyse et Images clés, ne sont pas diffusés en licence open source).	por el Medialab de la AFP. Fue desarrollada durante los proyectos europeos InVID (2016-2018), WeVerify (2018-2021; ambos H2020) y YouCheck! (2019-2021; educación a los medios) para ayudar a los periodistas y fact-checkers a verificar contenidos de las redes sociales (tenga en cuenta que los servicios InVID externos utilizados a través de esta interfaz, como los que se presentan en las pestañas Analisis e Imágenes claves, no son de código abierto).	από το Medialab AFP. Έχει αναπτυχθεί κατά τη διάρκεια των ευρωπαϊκών έργων InVID (2016-2018), WeVerify (2018-2021, τόσο H2020) όσο και YouCheck! (2019-2021 · γραμματισμό μέσων ενημέρωσης) καθώς και μέσω του έργου IFCN EnVisu4 (2021) για να βοηθήσει τους δημοσιογράφους και τα ερευνητικά στοιχεία επαλήθευσης του περιεχομένου στα κοινωνικά δίκτυα (αποποίηση ευθυνών: Παρακαλείστε να σημειώσετε ότι ορισμένες εξωτερικές υπηρεσίες που χρησιμοποιούνται μέσω υπηρεσιών Web μέσω αυτής της διασύνδεσης, όπως Αυτά που παρουσιάζονται κάτω από τις καρτέλες ανάλυσης και κλειδιών, δεν είναι ανοιχτά).
description	It has been designed as a verification ''Swiss army knife'' helping journalists to save time and be more efficient in their fact-checking tasks. This is a beta version and we will update it regularly thanks to your feedback.	Il a été conçu comme un ''couteau suisse'' de vérification pour permettre les journalistes à gagner du temps et être plus efficaces dans leur travail de vérification. C'est une version en développement et elle sera mise à jour régulièrement grâce à vos retours.	Se ha diseñado como una ''navaja suiza'' de verificación que ayuda a los periodistas a ahorrar tiempo y a ser más eficientes en sus tareas de verificación de hechos. Esta es una versión beta y la actualizaremos regularmente gracias a sus comentarios.	Έχει σχεδιαστεί ως ένας 'ελβετικό πολυεργαλείο' επαλήθευσης βοηθώντας δημοσιογράφους να εξοικονομήσουν χρόνο και να είναι πιο αποδοτικοί στις εργασίες επαλήθευσης. Αυτή είναι δοκιμαστική έκδοση που θα βελτιώνεται διαρκώς με τη βοήθεια των σχολίων σας.
feedBack_part_1	For any feedback (bugs, enhancement, suggestions) please use first the feedback button at the bottom right of your screen. In case of trouble, you can email us at 	Pour tout retour (problèmes, améliorations, suggestions), merci d'utiliser le bouton de feedback en bas à droite de l'écran. En cas de problème, vous pouvez nous envoyer un mail à 	Para cualquier comentario (errores, mejoras, sugerencias) por favor deje un mensaje en el botón de feedback abajo a la derecha de su pantalla. En caso de problema, puede enviarnos un correo electrónico a 	Για τυχόν ανατροφοδοτήσεις (σφάλματα, βελτίωση, προτάσεις) παρακαλούμε χρησιμοποιήστε πρώτα το κουμπί ανατροφοδότησης. Σε περίπτωση προβλήματος, μπορείτε να μας στείλετε email στο
invid_email	invid-verification-plugin@iti.gr	invid-verification-plugin@iti.gr	invid-verification-plugin@iti.gr	invid-verification-plugin@iti.gr
feedBack_part_2	, or leave us a direct message through the	, ou de nous laisser un message via le	, o déjenos un mensaje directo a través del	, ή αφήστε μας ένα μήνυμα μέσω του
feedback_widget	feedback widget	bouton ''feedback''	widget de comentarios (feedback)	εργαλείου σχολίων
feedback_part_3	at the bottom right.	en bas à droite.	en la parte inferior derecha.	στο κάτω δεξιά μέρος της σελίδας.
disclaimer	Disclaimer	Avertissement	Descarga de responsabilidad	Αποποίηση ευθυνών
disclaimer_text	This software is provided ''as is'', without warranty of any kind, express or implied, including but not limited to the warranties of merchantability, fitness for a particular purpose and noninfringement. In no event shall the authors or copyright holders be liable for any claim, damages or other liability, whether in an action of contract, tort or otherwise, arising from, out of or in connection with the software or the use or other dealings in the software.	Ce logiciel est fourni tel quel, sans aucune garantie explicite ou implicite, y compris mais non limité à sa qualité marchande, sa robustesse et toute garantie d'absence de contrefaçon. En aucun cas, les auteurs ou détenteurs du copyright ne sont responsables pour toute réclamation, dommages ou autre responsabilité, en lien avec ce logiciel ou son utilisation.	Este software se proporciona ''tal cual'', sin garantía de ningún tipo, expresa o implícita, incluyendo pero no limitándose a las garantías de comerciabilidad, idoneidad para un propósito particular y no infracción. En ningún caso los autores o titulares de los derechos de autor serán responsables de ninguna reclamación, daño u otra responsabilidad, ya sea en una acción contractual, extracontractual o de otro tipo, que surja de o en relación con el software o el uso u otras transacciones en el software.	Αυτό το λογισμικό παρέχεται «ως έχει», χωρίς εγγύηση οποιουδήποτε είδους, ρητή ή σιωπηρή, συμπεριλαμβανομένων, ενδεικτικά, των εγγυήσεων εμπορευσιμότητας, καταλληλότητας για συγκεκριμένο σκοπό και μη παραβίασης. Σε καμία περίπτωση οι συγγραφείς ή οι κάτοχοι πνευματικών δικαιωμάτων δεν φέρουν ευθύνη για οποιαδήποτε αξίωση, ζημία ή άλλη ευθύνη, είτε σε πράξη συμβολαίου, αδικοπραξία ή άλλως, που προκύπτει από, από ή σε σχέση με το λογισμικό ή τη χρήση ή άλλες συναλλαγές στο λογισμικό.
privacy	Privacy	Vie privée	Privacidad	Ιδιωτικότητα
privacy_text	This plugin does not gather any personal data or browsing data. We implemented Google analytics only to get feedback and statistics about the tool usage, in order to improve the next releases. Some new tools (TwitterSNA, CheckGIF, GIF export of Forensic) need registration and are reserved to journalists, fact-checkers and researchers.	Cette extension n'utilise pas vos données personnelles et n'utilise pas vos données de navigation. Les données récupérées via Google Analytics sont anonymisées et ne servent qu'à obtenir des statistiques d'usage sur l'utilisation de l'extension, dans le but d'améliorer les prochaines versions. Certains nouveaux outils (TwitterSNA, CheckGIF, GIF export of Forensic) requièrent un enregistrement et sont réservés aux journalistes, fact-checkers et chercheurs.	Este plugin no recoge ningún dato personal o de navegación. Implementamos Google Analytics sólo para obtener estadísticas sobre el uso de la herramienta, con el fin de mejorar las próximas versiones. Algunas nuevas herramientas (TwitterSNA, CheckGIF, GIF export of Forensic) necesitan registrarse y son reservadas para periodistas, fact-checkers y investigadores.	Αυτό το plugin δεν συλλέγει προσωπικά δεδομένα. Εφαρμόσαμε το Google Analytics μόνο για να λάβουμε ανατροφοδότηση και στατιστικά στοιχεία σχετικά με τη χρήση του εργαλείου, προκειμένου να βελτιωθούν οι επόμενες κυκλοφορίες. Ορισμένα νέα εργαλεία (Twittersna, Checkgif, GIF εξαγωγή εγκληματολογικών) χρειάζονται εγγραφή και προορίζονται για δημοσιογράφους, πούλια και ερευνητές.
